kitapcik,soru_no,konu,nihai_konu,not
2024,35,Üçgende Alan ve Benzerlik,Üçgende Alan ve Benzerlik,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım benzer üçgenlerden uzunluk ilişkisidir.
2024,36,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2024,37,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2024,38,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2024,39,Katı Cisimler,Katı Cisimler,
2024,40,Katı Cisimler,Katı Cisimler,
2025,1,Rasyonel Sayılar,Problemler,Oran-Orantı da olabilir; ağırlıklı adım dolu bölme sayısının toplam bölme sayısına oranıdır.
2025,2,Üslü Sayılar,Üslü Sayılar,
2025,3,Köklü Sayılar,Köklü Sayılar,Denklem Çözme yardımcı adımdır; ağırlıklı işlem köklü ifadeler üzerindedir.
2025,4,Rasyonel Sayılar,Rasyonel Sayılar,Sayı Basamakları da olabilir; ağırlıklı adım kesrin ondalık gösterimidir.
2025,5,İkinci Dereceden Denklemler,Denklem Çözme,Denklem Çözme de olabilir; tanımlı işlem sonucunda ikinci dereceden denklem oluşur.
2025,6,Problemler,Problemler,Denklem Çözme de olabilir; ağırlıklı adım araç geçişlerinin problem olarak modellenmesidir.
2025,7,Mutlak Değer,Mutlak Değer,
2025,8,Temel Kavramlar,Temel Kavramlar,
2025,9,Problemler,Problemler,Mantık da olabilir; ağırlıklı adım koşullu dağıtım problemidir.
2025,10,Kümeler,Kümeler,
2025,11,Mantık,Mantık,
2025,12,Temel Kavramlar,Temel Kavramlar,Sayı Basamakları da olabilir; ağırlıklı adım asal sayı koşuludur.
2025,13,Fonksiyonlar,Fonksiyonlar,
2025,14,Bölme ve Bölünebilme,Bölme ve Bölünebilme,
2025,15,Sayı Basamakları,Sayı Basamakları,
2025,16,Kümeler,Kümeler,Veri ve İstatistik de olabilir; ağırlıklı adım küme eleman sayısı bağıntılarıdır.
2025,17,Problemler,Problemler,
2025,18,Rasyonel Sayılar,Problemler,Problemler de olabilir; ağırlıklı adım kümülatif isabet oranlarının karşılaştırılmasıdır.
2025,19,Problemler,Problemler,
2025,20,Problemler,Problemler,"Permütasyon-Kombinasyon da olabilir; seçim sayısı değil, koşulu sağlayan gruplama araştırılır."
2025,21,Problemler,Problemler,
2025,22,Problemler,Problemler,
2025,23,Veri ve İstatistik,Veri ve İstatistik,
2025,24,Basit Eşitsizlikler,Problemler,Problemler de olabilir; ağırlıklı adım iki zaman aralığının kesişimidir.
2025,25,Problemler,Problemler,
2025,26,Problemler,Problemler,Bölme ve Bölünebilme de olabilir; ağırlıklı adım takvim ve haftalık program problemidir.
2025,27,Problemler,Problemler,Temel Kavramlar da olabilir; ağırlıklı adım dönüşümlü numaralandırma örüntüsüdür.
2025,28,Problemler,Problemler,Sayı Basamakları da olabilir; ağırlıklı adım tarih ve geri sayım ilişkisidir.
2025,29,Permütasyon-Kombinasyon,Permütasyon-Kombinasyon,
2025,30,Olasılık,Olasılık,
2025,31,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,
2025,32,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,Üçgen eşitsizliği; listede ayrı konu başlığı bulunmuyor.
2025,33,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,
2025,34,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri,"Üçgende Alan ve Benzerlik de olabilir; alan oranı yardımcı, ağırlıklı adım dik üçgen bağıntılarıdır."
2025,35,Üçgende Alan ve Benzerlik,Üçgende Alan ve Benzerlik,Çokgenler ve Dörtgenler de olabilir; ağırlıklı adım üçgensel bölgelerin alan karşılaştırmasıdır.
2025,36,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri,Üçgende Alan ve Benzerlik de olabilir; ağırlıklı adım dik üçgende Pisagor bağıntısıdır.
2025,37,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2025,38,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2025,39,Katı Cisimler,Katı Cisimler,
2025,40,Katı Cisimler,Katı Cisimler,
2026,1,Rasyonel Sayılar,Rasyonel Sayılar,
2026,2,Üslü Sayılar,Üslü Sayılar,Oran-Orantı da olabilir; ağırlıklı adım Üslü Sayılar.
2026,3,Köklü Sayılar,Köklü Sayılar,
2026,4,Problemler,Problemler,
2026,5,Denklem Çözme,Denklem Çözme,
2026,6,Bölme ve Bölünebilme,Bölme ve Bölünebilme,Problemler de olabilir; ağırlıklı adım tam sayı çarpan çiftleri.
2026,7,Mutlak Değer,Mutlak Değer,
2026,8,Sayı Basamakları,Sayı Basamakları,
2026,9,Problemler,Problemler,
2026,10,Kümeler,Kümeler,
2026,11,Mantık,Mantık,
2026,12,Fonksiyonlar,Fonksiyonlar,
2026,13,Bölme ve Bölünebilme,Bölme ve Bölünebilme,
2026,14,Çokgenler ve Dörtgenler,Problemler,Problemler de olabilir; ağırlıklı adım çokgenlerin kenar sayımı.
2026,15,Sayı Basamakları,Sayı Basamakları,
2026,16,Veri ve İstatistik,Veri ve İstatistik,
2026,17,Problemler,Problemler,Bölme ve Bölünebilme de olabilir; ağırlıklı adım problem modelleme.
2026,18,Problemler,Problemler,
2026,19,Problemler,Problemler,
2026,20,Oran-Orantı,Oran-Orantı,Problemler de olabilir; ağırlıklı adım doğru orantı.
2026,21,Problemler,Problemler,
2026,22,Problemler,Problemler,
2026,23,Veri ve İstatistik,Veri ve İstatistik,Problemler de olabilir; ağırlıklı adım dairesel grafik okuma.
2026,24,Problemler,Problemler,
2026,25,Problemler,Problemler,Bölme ve Bölünebilme de olabilir; ağırlıklı adım takvim problemi.
2026,26,Bölme ve Bölünebilme,Bölme ve Bölünebilme,Problemler de olabilir; ağırlıklı adım bölüm-kalan.
2026,27,Problemler,Problemler,
2026,28,Problemler,Problemler,Permütasyon-Kombinasyon da olabilir; ağırlıklı adım problem modelleme.
2026,29,Permütasyon-Kombinasyon,Permütasyon-Kombinasyon,
2026,30,Olasılık,Olasılık,
2026,31,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,
2026,32,Doğruda ve Üçgende Açılar,Doğruda ve Üçgende Açılar,Üçgen eşitsizliği; listede ayrı konu başlığı yok.
2026,33,Üçgende Alan ve Benzerlik,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım üçgen alanı.
2026,34,Dik Üçgen ve Trigonometri,Dik Üçgen ve Trigonometri,
2026,35,Üçgende Alan ve Benzerlik,Üçgende Alan ve Benzerlik,
2026,36,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,Dik Üçgen ve Trigonometri de olabilir; ağırlıklı adım deltoid özellikleri.
2026,37,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2026,38,Çokgenler ve Dörtgenler,Çokgenler ve Dörtgenler,
2026,39,Katı Cisimler,Katı Cisimler,
2026,40,Katı Cisimler,Katı Cisimler,
