student_id,son_deneme_neti,ustalik_ortalamasi,sinyal_yogunlugu,sonraki_deneme_neti
259,10.75,0.4033,0.61,12.0
260,10.75,0.4962,0.76,11.5
261,14.75,0.525,0.61,9.5
262,10.75,0.4132,0.68,8.25
263,17.0,0.6275,0.98,11.5
264,8.25,0.3017,0.98,9.5
265,10.25,0.5182,0.93,11.5
266,10.0,0.4545,0.62,12.25
267,8.5,0.3974,0.74,13.0
268,9.0,0.4054,0.68,4.25
269,20.5,0.5568,0.53,15.75
270,10.25,0.514,0.85,14.25
271,5.0,0.3407,0.89,9.75
272,5.75,0.3871,0.85,8.0
273,11.75,0.4885,0.88,11.0
274,13.25,0.62,0.51,16.0
275,15.0,0.5917,0.67,20.5
276,8.5,0.367,0.6,13.5
277,18.0,0.5148,0.56,12.25
278,9.75,0.3403,0.97,4.5
279,13.75,0.572,0.88,14.75
280,9.5,0.4025,0.71,12.5
281,12.0,0.4617,0.79,7.5
282,8.0,0.3153,0.84,7.5
283,12.5,0.4831,0.46,6.5
284,9.75,0.479,0.45,13.75
285,8.25,0.3914,0.77,7.25
286,8.25,0.4107,0.93,10.5
287,6.5,0.3404,0.41,8.5
288,12.0,0.4845,0.89,8.75
289,6.25,0.3246,0.46,12.25
290,9.5,0.4089,0.41,13.0
291,10.5,0.4668,0.46,10.5
292,15.0,0.5321,0.71,10.0
293,8.75,0.1891,0.54,1.75
294,10.25,0.6031,0.99,20.25
295,7.0,0.2088,0.73,3.25
296,9.0,0.4359,0.77,15.75
297,10.0,0.4596,0.76,9.5
298,17.0,0.6733,0.48,18.5
299,11.5,0.4113,0.78,8.0
300,10.0,0.3915,0.57,10.75
301,9.5,0.5557,0.59,14.0
302,12.25,0.4741,0.48,15.25
303,6.75,0.3442,0.68,14.25
304,9.5,0.319,0.42,3.75
305,16.0,0.4458,0.56,8.5
306,7.0,0.4706,0.95,15.25
307,10.0,0.4696,0.75,9.0
308,6.75,0.4156,0.96,11.25
309,14.0,0.518,0.62,12.0
310,8.25,0.321,0.96,6.25
311,11.75,0.527,0.8,16.0
312,9.75,0.3805,0.41,12.75
313,17.75,0.5706,0.65,10.5
314,11.25,0.4824,0.77,14.5
315,5.5,0.3739,0.87,11.5
316,13.25,0.5838,0.57,10.75
317,5.5,0.4307,0.65,7.5
318,10.75,0.534,0.83,14.25
319,5.75,0.2859,0.59,8.0
320,8.0,0.3497,0.71,7.25
321,11.5,0.4915,0.71,14.75
322,13.5,0.5867,0.76,10.5
323,13.0,0.5527,0.59,13.5
324,9.75,0.3848,0.49,7.25
325,11.5,0.448,0.53,12.5
326,4.25,0.3642,0.84,10.25
327,8.75,0.3284,0.49,3.75
328,7.75,0.2699,0.9,6.5
329,16.5,0.6062,0.84,15.75
330,-1.25,0.2515,0.71,6.75
331,11.25,0.3662,0.73,9.75
332,6.75,0.3622,0.75,8.5
333,8.5,0.4381,0.45,7.5
334,9.75,0.4448,0.88,12.5
335,8.75,0.4715,0.76,10.0
336,11.0,0.5517,0.8,10.0
337,13.0,0.4678,0.99,5.75
338,13.5,0.5141,0.49,10.5
339,12.0,0.3688,0.63,10.75
340,13.0,0.4454,0.95,10.5
341,9.75,0.3971,0.85,7.0
342,8.5,0.344,0.44,6.5
343,12.5,0.5694,0.79,16.0
344,7.5,0.4201,0.48,8.75
345,6.5,0.4297,0.52,8.25
346,11.75,0.5097,0.41,12.5
347,7.75,0.5159,0.53,13.5
348,10.0,0.47,0.73,13.25
349,9.25,0.4602,0.92,13.0
350,17.25,0.5971,0.57,12.25
351,9.0,0.4336,0.48,7.75
352,5.25,0.3342,0.9,6.0
353,11.0,0.3722,0.75,9.25
354,7.5,0.4281,0.99,13.5
355,6.25,0.3397,0.81,7.25
356,8.25,0.435,0.62,11.25
357,12.75,0.4247,0.46,8.75
358,6.25,0.4136,0.54,9.5
359,8.5,0.4537,0.73,9.0
360,18.5,0.6524,0.8,12.5
361,9.0,0.4465,0.91,11.75
362,8.75,0.2824,0.86,1.75
363,6.25,0.3538,0.71,7.5
364,15.25,0.5303,0.73,18.0
365,9.0,0.588,0.64,14.5
366,6.5,0.398,0.81,7.25
367,8.25,0.4108,0.63,11.5
368,9.0,0.4599,0.46,8.75
369,9.5,0.2667,0.64,9.5
370,11.5,0.4544,0.56,9.25
371,8.75,0.5252,1.0,13.0
372,12.0,0.3649,0.47,6.5
373,18.5,0.5545,0.88,14.25
374,6.0,0.427,0.61,7.25
375,4.75,0.3653,0.48,12.5
376,13.75,0.5011,0.97,11.25
377,12.5,0.5405,0.74,15.5
378,13.25,0.5573,0.75,11.5
379,6.5,0.5392,0.65,14.0
380,7.5,0.4745,0.49,20.0
381,14.0,0.6274,0.93,19.0
382,11.0,0.4579,0.43,7.25
383,9.0,0.3948,0.89,8.0
384,14.0,0.5359,0.95,13.75
385,12.25,0.4238,0.67,10.5
386,10.75,0.4661,0.42,8.5
387,11.75,0.387,0.49,10.5
388,7.25,0.4746,0.7,11.75
389,7.75,0.4424,0.99,13.75
390,14.0,0.5522,0.59,12.75
391,8.0,0.4797,0.42,11.5
392,12.25,0.5772,0.68,15.0
393,13.0,0.4721,0.94,12.5
394,9.75,0.4398,0.64,8.0
395,11.5,0.4831,0.63,14.75
396,8.75,0.3947,0.58,9.75
397,9.75,0.5587,0.67,11.25
398,12.0,0.4647,0.6,9.0
399,15.75,0.4369,0.46,10.25
400,9.0,0.4923,0.88,18.5
401,15.75,0.3852,0.56,13.75
402,13.75,0.5071,0.72,12.25
403,12.0,0.5539,0.49,14.25
404,8.0,0.4238,0.85,3.5
405,11.75,0.496,0.87,7.75
406,11.75,0.521,0.46,10.25
407,13.75,0.447,0.99,8.25
408,11.25,0.474,0.76,8.5
409,14.75,0.5653,0.42,15.0
410,11.75,0.5555,0.94,13.5
411,8.25,0.4658,0.72,10.5
412,12.75,0.4516,0.44,10.0
413,8.0,0.4192,0.8,11.75
414,7.75,0.3364,0.67,7.75
415,11.5,0.3323,0.74,2.5
416,6.75,0.405,0.81,9.25
417,11.25,0.3969,0.83,10.5
418,9.25,0.434,0.73,11.5
419,14.25,0.5794,0.67,14.75
420,10.75,0.3669,0.86,9.5
421,9.25,0.4067,0.6,10.0
422,13.0,0.3465,0.66,5.75
423,11.5,0.3458,0.75,6.5
424,9.25,0.4032,0.58,6.5
425,8.25,0.4276,0.9,10.0
426,5.5,0.4274,0.45,9.25
427,11.25,0.531,0.97,17.25
428,16.5,0.4911,0.84,16.5
429,7.75,0.3624,0.82,7.25
430,15.5,0.5945,0.9,9.75
431,13.0,0.3738,0.69,10.75
432,10.25,0.4276,0.55,7.0
433,10.75,0.5223,0.78,12.25
434,9.75,0.4027,0.74,10.5
435,8.0,0.485,0.69,13.5
436,4.75,0.386,0.73,12.0
437,5.75,0.4836,0.7,10.0
438,15.0,0.4263,0.79,11.25
439,5.75,0.3317,0.76,10.25
440,10.5,0.4464,0.62,10.0
441,7.75,0.3884,0.69,13.25
442,11.5,0.5455,0.93,10.0
443,11.0,0.3771,0.79,7.75
444,9.5,0.4129,0.43,12.25
445,11.0,0.4923,0.54,12.75
446,9.5,0.4635,0.92,11.25
447,11.25,0.5153,0.53,17.5
448,6.0,0.4157,0.93,9.75
449,6.0,0.4285,1.0,11.0
450,17.75,0.4996,0.91,12.25
451,8.75,0.3588,0.79,13.75
452,11.75,0.6058,0.98,17.0
453,3.25,0.3132,0.6,9.5
454,11.5,0.5143,0.91,11.75
455,14.25,0.5684,0.58,16.0
456,6.25,0.4901,0.7,15.5
457,8.75,0.4272,0.7,9.5
458,9.0,0.3899,0.63,10.75
459,6.5,0.5011,0.78,13.25
460,8.75,0.4238,0.53,6.5
461,9.75,0.5314,0.6,12.25
462,8.25,0.5235,0.46,10.75
463,10.75,0.4484,0.61,9.5
464,12.25,0.4184,0.78,7.0
465,13.5,0.5321,0.64,13.75
466,6.75,0.5033,0.92,14.25
467,13.25,0.498,0.56,11.5
468,14.25,0.4735,0.77,12.0
469,11.25,0.4434,0.68,6.25
470,14.5,0.4722,0.68,8.25
471,8.75,0.3923,0.78,9.5
472,15.25,0.638,0.88,16.25
473,9.0,0.3771,0.5,11.0
474,10.75,0.3598,0.41,9.5
475,12.75,0.484,0.81,9.0
476,6.0,0.464,0.89,12.5
477,7.75,0.3444,0.89,5.5
478,16.75,0.5891,0.83,15.25
479,16.0,0.5681,0.99,20.25
480,6.0,0.3978,0.82,13.0
481,8.25,0.3736,0.54,6.0
482,11.5,0.4487,0.71,10.5
483,14.25,0.4976,0.59,11.75
484,6.5,0.3616,0.43,5.5
485,8.25,0.4389,0.87,17.25
486,8.5,0.5154,0.49,12.0
487,13.5,0.5904,0.69,7.75
488,10.5,0.3871,0.54,10.25
489,7.25,0.2331,0.68,3.5
490,7.75,0.4508,0.42,11.25
491,7.5,0.3124,0.51,7.0
492,11.0,0.5348,0.42,11.25
493,10.5,0.2708,0.88,4.5
494,8.75,0.317,0.62,8.25
495,10.25,0.5041,0.91,15.0
496,6.0,0.4242,0.85,10.75
497,13.5,0.3618,0.41,5.25
498,9.25,0.4135,0.65,10.75
499,14.25,0.5704,0.41,14.75
500,9.25,0.406,0.5,8.25
501,13.5,0.4281,0.81,14.5
502,10.25,0.3893,0.72,13.25
503,14.25,0.3131,0.67,4.25
504,8.0,0.3929,0.91,11.0
505,4.25,0.3087,0.56,10.75
506,14.0,0.5191,0.76,14.0
507,14.75,0.5922,0.72,16.0
508,14.5,0.4517,0.89,6.25
509,8.5,0.4602,1.0,15.0
510,13.25,0.4716,0.84,9.5
511,6.25,0.4436,0.97,15.0
512,9.0,0.3373,0.57,5.75
513,12.75,0.4199,0.7,10.75
514,5.25,0.3011,0.68,12.5
515,3.5,0.3167,0.87,9.25
516,8.5,0.4021,0.98,9.75
517,7.0,0.2899,0.93,10.0
518,5.5,0.3506,0.69,6.75
519,15.5,0.405,0.71,8.0
520,14.5,0.5203,0.78,10.5
521,13.0,0.5145,0.68,14.75
522,6.25,0.4497,0.84,11.5
523,9.0,0.4214,0.56,14.5
524,3.75,0.3766,0.57,14.25
525,12.25,0.4562,0.46,10.75
526,8.75,0.3893,0.92,9.5
527,10.0,0.3155,0.84,8.5
528,12.0,0.4134,0.92,8.25
529,12.75,0.4551,0.95,8.5
530,11.75,0.4611,0.48,5.75
531,7.75,0.3026,0.48,5.0
532,7.75,0.4188,0.52,10.75
533,8.5,0.3154,0.93,5.0
534,4.0,0.3154,0.54,5.0
535,12.75,0.4314,0.61,6.25
536,14.5,0.4342,0.86,8.0
537,18.25,0.6155,0.53,18.25
538,10.0,0.5177,0.54,11.25
539,8.75,0.5928,0.98,16.0
540,11.0,0.4257,0.93,8.5
541,7.75,0.4137,0.97,12.5
542,6.25,0.2083,0.49,5.25
543,6.25,0.3689,0.59,5.25
544,5.0,0.4422,0.98,15.25
545,15.75,0.5218,0.61,11.5
546,11.75,0.5107,0.77,15.0
547,9.5,0.3928,0.75,7.5
548,14.75,0.5247,0.59,13.0
549,11.25,0.4624,0.97,13.75
550,6.0,0.3433,0.92,6.0
551,11.25,0.3713,0.88,12.0
552,13.25,0.4647,0.75,11.0
553,9.25,0.4089,0.51,12.0
554,3.5,0.2926,0.7,4.75
555,7.75,0.4208,0.8,11.0
556,7.5,0.3254,0.77,10.0
557,8.5,0.4307,0.53,13.0
558,12.0,0.4227,0.5,11.25
559,14.5,0.4742,0.68,11.0
560,13.0,0.5347,0.79,10.0
561,10.5,0.5363,0.79,12.25
562,5.25,0.3539,0.76,9.5
563,13.0,0.4129,0.83,16.25
564,7.25,0.4631,0.45,12.25
565,12.0,0.4356,0.97,11.25
566,10.0,0.412,0.67,9.5
567,5.75,0.3503,0.93,7.75
568,13.0,0.5341,0.96,12.0
569,7.25,0.3024,0.92,6.25
570,11.75,0.4855,0.77,10.75
571,9.25,0.4405,0.59,10.5
572,13.75,0.4818,0.68,13.0
573,5.75,0.242,0.73,4.5
574,11.75,0.5623,0.47,12.0
575,10.75,0.3873,0.94,3.0
576,9.75,0.4879,0.57,10.75
577,10.5,0.4687,0.85,6.0
578,18.5,0.5841,0.84,10.5
579,15.0,0.5079,0.57,9.75
580,11.25,0.4939,0.95,13.5
581,9.0,0.431,0.65,9.5
582,16.25,0.5419,0.9,11.5
583,13.75,0.4899,0.43,15.0
584,9.0,0.5164,0.9,15.5
585,14.75,0.4798,0.85,10.0
586,8.0,0.4151,0.55,13.0
587,11.5,0.5476,0.47,13.25
588,6.5,0.3961,0.56,6.5
589,7.75,0.4302,0.66,13.75
590,10.25,0.406,0.99,4.75
591,4.0,0.3605,0.52,11.5
592,11.75,0.6038,0.69,12.5
593,13.5,0.433,0.5,7.75
594,8.25,0.3385,0.91,7.75
595,10.0,0.464,0.46,12.25
596,12.25,0.5429,0.79,13.75
597,9.75,0.4024,0.44,4.0
598,16.5,0.4555,0.67,11.25
599,8.0,0.3844,0.97,12.25
600,7.25,0.4192,0.49,9.25
601,14.0,0.4021,0.79,9.5
602,6.5,0.425,0.45,11.0
603,13.0,0.5809,0.92,18.25
604,6.25,0.3417,0.73,10.0
605,11.25,0.3496,0.67,6.75
606,14.5,0.3695,0.43,6.0
607,9.25,0.5202,0.84,13.0
608,13.75,0.573,0.7,11.25
609,17.75,0.5414,0.86,13.75
610,14.0,0.4886,0.67,8.25
611,12.25,0.4316,0.48,7.25
612,5.25,0.3653,1.0,6.75
613,19.25,0.6713,0.65,19.25
614,5.75,0.2754,0.57,3.25
615,9.5,0.5166,0.69,12.0
616,6.0,0.2855,0.67,7.25
617,13.0,0.5229,0.45,11.0
618,12.25,0.4309,0.43,10.25
619,16.75,0.3413,0.77,5.5
620,13.75,0.4743,0.42,8.75
621,13.75,0.4815,0.57,11.5
622,14.75,0.458,0.65,10.25
623,0.75,0.0707,0.95,-2.5
624,6.25,0.2797,0.44,7.5
625,8.5,0.4156,0.73,9.75
626,4.75,0.3252,0.77,8.5
627,15.5,0.4589,0.66,10.5
628,7.75,0.3575,0.42,10.25
629,13.25,0.4333,0.45,7.0
630,19.0,0.5099,0.52,9.0
631,10.5,0.3834,0.88,9.75
632,11.0,0.5104,0.74,10.75
633,14.5,0.5476,0.61,9.5
634,11.75,0.3521,0.53,5.0
635,11.25,0.3958,0.65,5.0
636,13.75,0.5888,0.95,14.0
637,12.5,0.3948,0.42,13.25
638,9.75,0.5388,0.65,16.0
639,18.0,0.5543,0.78,12.0
640,9.75,0.4611,0.57,13.0
641,2.75,0.2032,0.57,5.5
642,13.75,0.4469,0.54,9.0
643,11.75,0.4444,0.46,7.75
644,9.75,0.4655,0.85,14.25
645,9.25,0.2445,0.78,2.5
646,12.0,0.4771,0.95,9.75
647,15.75,0.5257,0.9,13.25
648,14.0,0.4522,0.52,8.25
649,12.5,0.4572,0.51,9.75
650,10.0,0.4322,0.5,13.5
651,12.75,0.3114,0.67,2.25
652,7.75,0.4213,0.9,8.75
653,7.0,0.4064,0.54,8.5
654,15.75,0.5378,0.7,15.0
655,11.5,0.4826,0.74,12.75
656,12.5,0.4305,0.8,9.25
657,15.25,0.4302,0.64,6.5
658,0.0,0.1462,0.94,1.5
659,9.25,0.3513,0.87,11.0
660,11.0,0.4542,0.76,10.0
661,7.5,0.5196,0.85,11.25
662,12.5,0.4587,0.79,8.75
663,5.5,0.3327,0.9,7.5
664,10.5,0.5177,0.45,9.0
665,5.0,0.2813,0.97,5.5
666,13.25,0.5785,0.61,13.75
667,8.25,0.3949,0.97,12.5
668,13.0,0.4957,0.57,11.5
669,8.75,0.4221,0.44,12.5
670,4.75,0.3223,0.83,8.5
671,9.5,0.3425,0.63,10.25
672,8.5,0.4399,0.67,12.5
673,9.25,0.521,0.92,13.75
674,15.5,0.6536,0.81,13.0
675,14.5,0.4383,0.71,6.25
676,2.25,0.1843,0.69,1.5
677,9.0,0.4337,0.54,3.5
678,9.0,0.4932,0.57,11.25
679,13.75,0.5075,0.69,8.75
680,11.25,0.4471,0.43,8.75
681,7.25,0.4414,0.57,6.0
682,4.0,0.3733,0.8,9.25
683,11.5,0.523,0.92,10.75
684,11.5,0.5731,0.5,16.5
685,16.5,0.5918,0.89,19.25
686,4.75,0.3267,0.85,8.75
687,4.75,0.3448,0.41,10.0
688,14.75,0.501,0.49,10.75
689,13.5,0.5358,0.66,10.5
690,11.75,0.5038,0.59,15.5
691,4.75,0.2689,0.91,3.25
692,6.0,0.3529,0.65,13.0
693,8.5,0.3353,0.57,11.25
694,8.0,0.3743,0.85,6.75
695,19.0,0.5526,0.78,6.5
696,8.0,0.3608,0.78,7.25
697,11.5,0.4738,0.83,11.5
698,14.75,0.582,0.8,14.75
699,7.75,0.4008,0.73,9.75
700,11.5,0.5362,0.67,13.25
701,3.0,0.5446,0.61,16.75
702,10.5,0.4493,0.97,13.75
703,9.75,0.4464,0.47,14.0
704,12.5,0.4041,0.55,9.0
705,11.0,0.3733,0.86,5.5
706,9.25,0.4695,0.74,12.5
707,12.75,0.4806,0.5,12.75
708,5.5,0.4097,0.68,10.5
709,14.0,0.427,0.99,7.5
710,7.25,0.4193,0.41,11.0
711,6.25,0.3506,0.69,9.5
712,9.75,0.4429,0.94,7.0
713,15.75,0.603,0.64,24.75
714,14.75,0.5527,0.68,14.75
715,11.5,0.4736,0.79,8.5
716,9.5,0.4715,0.9,12.0
717,14.5,0.5059,0.99,14.75
718,5.0,0.2987,0.75,4.75
719,0.75,0.3402,0.75,7.75
720,12.5,0.4091,0.54,12.75
721,15.75,0.657,0.99,17.75
722,11.5,0.3861,0.81,11.5
723,12.25,0.2935,0.97,8.5
724,19.25,0.684,0.76,16.5
725,6.25,0.2987,0.43,11.5
726,11.25,0.4767,0.81,9.0
727,10.5,0.4589,0.69,12.0
728,9.0,0.4253,0.68,9.5
729,8.0,0.4338,0.97,12.25
730,8.5,0.3694,0.7,9.25
731,12.25,0.5245,0.72,14.75
732,11.5,0.4373,0.67,7.25
733,6.75,0.3951,0.43,9.25
734,12.5,0.3697,0.98,7.25
